name,service,latitude,longitude,address,zone,service_link,image
Simonetta Pizzería,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/simonetta-pizzeria/DlsqqWKZXIO89FkwP5vXUQ,
Little Caesars,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/little-caesars-providencia/KY-ZxdhXVZCxWziOTzxRRQ,
Waldo's,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/waldos-providencia/MYOFcdgxQ22ldVxi2FPZ5A,
Big O' Pizza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/big-o-pizza/kVJH23c1U0uUTrIiZ3QoGA,
Tropera Drugstore,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/tropera-drugstore/9CSXjFy7XO2wD4GLhgMKoQ,
Agostina Pizzas,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/agostina-pizzas-providencia/E9gQNTp7XpKjMpLizfHdoA,
Under Pizza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/under-pizza-panoramico/P7VcmsVJWxuEx9uvkKNi4g,
Pasta Pazza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/pasta-pazza/k6imltD9S0-QvR87gtAZDg,
One Dollar Pizza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/one-dollar-pizza/JmQeohP8WoaHqHf1YM_wnw,
Vapiano,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/vapiano-pedro-de-valdivia/bVgL1cqPTbCtCltY7EKT6w,
MERCATINO PROVIDENCIA,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/mercatino-providencia/dagoHFisSsWRDhxAAScmCw,
La Pizza Nostra,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/la-pizza-nostra-providencia/dvkC7IzAS_a0jBile2_idw,
Pizzario,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/pizzario/bo6g16I9WbmkfjVjkVzogg,
Di’Varas Pizzas y Pastas,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/divaras-pizzas-y-pastas/qBfefR12T5C4qlg3RVL4uQ,
Mamma Mia,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/mamma-mia-panoramico/xRnlYunhW4aVAfoPJ03xXw,
TOMATA PIZZA,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/tomata-pizza/lh8IVNaMQaWG0NnFgm49Jg,
La Pizza é Bella🍕,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/la-pizza-e-bella-pizza-%26-panini/JpYWjrgaTf6milhxEEWNqA,
Il Vicino,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/il-vicino/OqKvDq6wX3Kca5LA4qOZZw,
Savoia Pizzeria,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/savoia-pizzeria/DtjHfkK4WtCdEKQt7Sj3bQ,
Pizza Hut,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/pizza-hut-costanera-center/sb6TYL5zRV-bsYbgELGpxw,
Vincitori,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/vincitori-santiago/q0_TkhGvRv-NRA9yAz-TWg,
Oh!asis Gourmet Lounge,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/oh!asis-gourmet-lounge/5L3KGFQrTuiws5_JyfwzVw,
De Pura Madre,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/de-pura-madre/b3iG-gFuTEOPpkMXPxWAYA,
Pizzeria Roma La Reina,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/pizzeria-roma-la-reina/ibfrUtezTveAKU6fFw4-bw,
Da Dino,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/da-dino-las-condes/9XwETdXaRyaVVO4ryCgnyw,
Pizzeria St Giovannis,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/pizzeria-st-giovannis-vitacura/Lw27S_KvSr2lw126_nZupw,
Q’ Pizza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/q-pizza/JHb7xAYjVtizNPoLXyWHOA,
La Finestra Pasta & Pizza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/la-finestra-pasta-%26-pizza/FF-TE8tWSrG5nGg91-8TEQ,
Solo Pizza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/solo-pizza-santiago/yBN7ZwAsXvmjoQTk8gCxDA,
Perpiacere,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/perpiacere/mSwpfdYdTxGvd8Ef4nj2Gw,
Ristorante Pizzeria Di Rossy,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/ristorante-pizzeria-di-rossy/j-ZDNuLQSnu_UBNNFi0EgQ,
Diavolo Pizza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/diavolo-pizza/cOrMfmbaShuMIsXTirPy7g,
Ciudadano,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/ciudadano/rFlZFwNNRNKp46L1rPkSYg,
Veganmobile,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/veganmobile/q6Qmzoh5UcWd_Yu6qbJm-w,
Caprese,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/caprese/4Hey-c5IVrK-YKcV8N13Pg,
Da Radda,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/da-radda-las-condes/fo7wm-bPUcyJ1EvmoY1RNg,
Stefano Nardini,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/stefano-nardini/LneiJ1P9WVWBaVQB0bkdig,
Batard,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/batard-providencia/0NLp-o85Vj-zJbktKlSh8g,
Pizzas y Pastas by The Game,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/pizzas-y-pastas-by-the-game-santiago/pWsyXi0PQ5O3FoZCOtxoOA,
Ginos Pizza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/ginos-pizza/a8hxWkU4TrmA2mGE7IvQ_A,
Mattarello,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/mattarello/5v1ZPI2vR8Sku2s61WDeTQ,
Duploz's Pizza & Bowl,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/duplozs-pizza-%26-bowl-el-bosque/YMEb2MDOQBuNaGedvMJ2rA,
Ritrovo,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/ritrovo/PqQiFo7aQUuyJDK4g9PMtg,
Brunapoli,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/brunapoli-trapenses/Vkx6D3ynSDecR-E_GqdRHg,
Giocatore Pizzería,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/giocatore-pizzeria/mQNtc7bPW6WySF_4UG7ZUA,
La Ciabatta,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/la-ciabatta-providencia/70GI5BisQVWK8VXX1Blf9g,
PEYUCO'S PIZZA,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/peyucos-pizza/NGQeAGsLV2SgYScKu1Rk4Q,
Seven Pizza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/seven-pizza-las-condes/bCrG4Br9TPuDlecSs-fNjw,
Killer foods Bustamante,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/killer-foods-bustamante/Ag9xtFl9UPKsYPmM5qep-A,
Ruta 41,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/ruta-41/P8KauP5vUDa7s5G7j8nhnw,
Mascarpone Pizza & Pasta,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/mascarpone-pizza-%26-pasta-providencia/ZtAQ159GT76LFe3eF1CDFw,
La Argentina Pizzería,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/la-argentina-pizzeria-panoramico/Z7HKM07wUO6iJVN-nK15ng,
La Fabbrica,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/la-fabbrica-plaza-egana/7L4QfbPmQN6UfeZYNPLN-w,
Trattoria Rita,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/trattoria-rita-parque-arauco/pzmO-RnWSkueECpn1ImySw,
Tiramisú,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/tiramisu/PreHcA9KXaO2VsJP6aN7SA,
Bertazzo Trattoria & Cafe,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/bertazzo-trattoria-%26-cafe-providencia/ND9vbzJSUAq_W3t_GhVIEg,
Papa Johns,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/papa-johns-el-bosque/8wOFXUBeRTCpkM2Kfq_eWw,
Milano's Pizza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/milanos-pizza-vicuna-mackenna/kZfHzajFQ7aYElz7Z1IWMg,
Pizzpa La Reina,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/pizzpa-la-reina/BJPQ_cpGWCilSHb4sTTjuQ,
Panadería Esfuerzo,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/panaderia-esfuerzo-santiago/Kzzv3I1MTDGVdKQS7u1rTw,
Green Pizza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/green-pizza/RUBGwwfRRGqeICAKkpPh-Q,
PIZZA HAMBURGUER H Y P,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/pizza-hamburguer-h-y-p/aTTKE_vVWEKQaJa2B6Z33A,
PizzaPizza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/pizzapizza-el-bosque/OUuLvyDuQsCQWLtvvRY9AA,
Mattre Pizza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/mattre-pizza/oNzWI-e8TuyquEAfXEFPdg,
Punto Viru,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/punto-viru/02omWY1zUKOMAkmB_NDfdg,
Urban Pizza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/urban-pizza-nunoa/J9aiBdVJXwC00Vtedkqvcw,
La Definitiva Pizza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/la-definitiva-pizza/5ldadnHVRRajim5gkyWVWQ,
"Gaita Pizzeria, Pizza, Sandwich & Milanesa",Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/gaita-pizzeria-pizza-sandwich-%26-milanesa/PiUJ64KNQG2dZxLNV5OJQg,
MERCATINO VITACURA,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/mercatino-vitacura/6rC0mBdJSzOqlPWLVoNr4g,
Sbarro Pizza,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sbarro-pizza-vitacura/75H-3mUMWYGnj_yB47fvEQ,
Felice Trattoria,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/felice-trattoria-las-condes/RLKs3guMRuKf-L7IafmhaA,
MeatMe,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/meatme-providencia/ecLFCVafWtaeqnNrqoJR8g,
Furore,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/furore/LtICyaSkTZGi5AsJWqqg1w,
"La Santiaguina Masa Madre, Paseo El Tamarugo",Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/la-santiaguina-masa-madre-paseo-el-tamarugo/hVBUgXXgRXmsAop76FH7AQ,
El Sabor D Italia,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/el-sabor-d-italia/D8O5PhOsUp6weEGrp658oA,
Piccolino,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/piccolino-providencia/IONqy7yZUZuM0S3AMlhYXA,
Arlecchino pizzas,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/arlecchino-pizzas/WVnIeJweQK2-GF2tWDjVig,
Mi Cielo Toscano,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/mi-cielo-toscano/MfcvKmpdRbehGCnpSdSL8g,
Melt Pizzas,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/melt-pizzas-el-bosque/JoJ3PVfJRFyoLkn6uuQcwA,
Come Kome Onigiri,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/come-kome-onigiri-providencia/Ut7wufDUXBmJrYbCg-yWTA,
Kinari Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/kinari-sushi-providencia/t2GLooCwX_-mr0c5FNGWaA,
Jutsu Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/jutsu-sushi/oJD-oDD9W2eyQ4-K5-AfSg,
Sushini,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushini-santiago/qDngsm5VV9m17FGUXV7c8Q,
Alto Nikkei Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/alto-nikkei-sushi-providencia/RqZTMSRLX_6NAsvvD3RM1Q,
Inti Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/inti-sushi/VaKsRj8nVZCZc0b_XJHELw,
Piso Uno Providencia,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/piso-uno-providencia/WUsTCH2EUByF8f7tmxkG8Q,
Kokoro sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/kokoro-sushi-santiago/gKQ013cFWfS3917CCv-5vg,
El Japonés,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/el-japones-panoramico/bmPMxXjqXAiEsS2HGsJyqA,
Kaizen Sushi Spa,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/kaizen-sushi-spa-santiago/4ursHOY8QY2-QM1DAzF2nQ,
Do Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/do-sushi-providencia/ELj_cyTbRdWbZTiLIiwfhQ,
IRI SUSHI NIKKEI,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/iri-sushi-nikkei-santiago/KcMd1l22QCurI85j7NGoxg,
Sushi Oke,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushi-oke-santiago/JXRLztEuSWGuM29vWVCFuA,
Club del Poke- Providencia 2,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/club-del-poke-providencia-2/cbgI3xeWXu-RtnrJGZBMpA,
Sushi Uno Matucana,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushi-uno-matucana/EWcQS96LUdym1EV19Vs63Q,
Bamboo Sushi Nikkei,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/bamboo-sushi-nikkei/PV0gntCJWpagPO3V3x7UVg,
Kyto Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/kyto-sushi/vgAoO3lEUSuVZcTmpdtEaQ,
Sushi Po,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushi-po-recoleta/D4DUSSCATweClNCaEPZeGw,
Electro Gohan,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/electro-gohan/RvSIf2VzXzS0KY1Jl70MMA,
Alto Japón,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/alto-japon-providencia/WcZHA-GbRfOPmXv6ekCScA,
Sushiban,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushiban-los-leones/F5eIMcSqQASkmtuW1T1Emw,
Cele Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/cele-sushi-providencia/xVKa0id3RYGqi0pS-6pncQ,
Glotón Sushi Roll,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/gloton-sushi-roll-santiago/W82fZNSEU4G_i9tDkDTJdw,
Poked,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/poked-providencia-2/DBDs4u3_WRGXZJu9tPEN1Q,
Yokono,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/yokono-providencia-ii/02rpeek5XTeblOOc79GtXQ,
Suni Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/suni-sushi-providencia/WZ_5Jk7QXLKMmClpV1aUcw,
Sushiblues,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushiblues-costanera-center/DtHuoWlkS7q1FToc6Lbw7g,
Hels Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/hels-sushi/AuZ8XkGLW_i8trF8lHKdcQ,
Sushi food Paradise providencia,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushi-food-paradise-providencia-providencia/B-n-mdn5UPmaKYlUULv9Tg,
Noah Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/noah-sushi-providencia/OJVES7BFQXGqTcOgoFD1Cg,
Sushi Nishiki,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushi-nishiki-santiago/OEtdiZ1gQvaB6ST-PdnZvg,
Gary Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/gary-sushi-santiago/I1MzSNvlWqeil2ULufE0MA,
Sushi Roa,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushi-roa/4ajjyME3U7y_GUkVDlz34g,
Sushi Fusión Poke manía,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushi-fusion-poke-mania/dl4RRWyNWaKQhuYP5lIeVQ,
Umai Sushi Nikkei,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/umai-sushi-nikkei/ipira4mQWYqFA66UmG4c4Q,
Sushi PEPO'S,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushi-pepos-santiago-santiago/XIF-N6efX_S1We2HB3kylQ,
Hoko Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/hoko-sushi-santiago/NdCk65g4XzG3sozpL5YVqA,
Sushi Maky Bella Vista,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushi-maky-bella-vista/A2U7XUU2WzCs0Scl3YlhTQ,
Burokki Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/burokki-sushi/uZ5xPVg5Xq2h22m8QoLbHQ,
Kaze Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/kaze-sushi-las-condes/An-tGMZRVwmtfDRL9jZxmQ,
La Rosa Vegan Food,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/la-rosa-vegan-food/EHJCrP9pSa2isjN07-TwtA,
Sushi Big Bang,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushi-big-bang/xpJQI0JpWSGkwBSJ_Ny5_Q,
Alminuto Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/alminuto-sushi/k4clPB-YVMKmxxw6pCimJg,
Meraki Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/meraki-sushi-providencia/FnupNO7NX8-LhOF_8cDNYg,
Kimura Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/kimura-sushi-santiago/LEiYPWxRXqKUJ4sMDZYeMg,
Sushi y Cevicheria la Barra de Falconi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushi-y-cevicheria-la-barra-de-falconi-santo-domingo/tPxZEEYHU76eCFmpX_Rsxw,
